宾	bbooui
蛰	feiuia
蛰	qeiuia
蜇	feiuia
蜇	qeiuia
晢	feiuoi
晢	qeiuoi
遮	feovoa
遮	qeovoa
褶	feoaao
褶	qeoaao
谪	feoaov
谪	qeoaov
褚	feoauo
褚	jjoauo
褚	qeoauo
褚	qjoauo
啫	feouov
啫	qeouov
鹧	feovua
鹧	qeovua
䗪	feovia
䗪	qeovia
戢	feovii
戢	jkovii
戢	qeovii
这	feovoa
这	qeovoa
这	qwovoa
者	feuooi
者	qeuooi
辙	fevaov
辙	qevaov
辄	fevavi
辄	qevavi
喆	fevovo
喆	qevovo
赭	fevouo
赭	qevouo
磔	fevuua
磔	qevuua
詟	fevuov
詟	qevuov
柘	fevvuo
柘	qevvuo
反	ffuuao
泛	ffauoa
氾	ffaaaa
贩	ffaouu
范	ffiiaa
帆	ffiaua
幡	ffiauo
畈	ffiauu
藩	ffiiau
蘩	ffiiuv
钒	ffioua
烦	ffouvu
蹯	ffoiuo
燔	ffouuo
饭	ffuauu
凡	ffuaoo
犯	ffuaaa
翻	ffuoao
番	ffuoia
番	pfuoia
返	ffuuoa
繁	ffuvaa
繁	pluvaa
梵	ffvvua
墦	ffvouo
樊	ffvuvu
矾	ffvuua
璠	ffvvuo
拽	fgiuia
拽	yeiuia
跩	fgoiia
转	fgvavv
转	ftvavv
摘	fhiuov
摘	qhiuov
择	fhiuao
择	qhiuao
择	zeiuao
债	fhivvi
债	qhivvi
砦	fhivvu
砦	qhivvu
宅	fhoouv
宅	qhoouv
窄	fhoouv
窄	qhoouv
寨	fhoovv
寨	qhoovv
斋	fhovvu
斋	qhovvu
瘵	fhovua
瘵	qhovua
祭	fhuavv
祭	jkuavv
祭	qhuavv
服	fjuaia
妇	fjauav
缚	fjaavi
绋	fjaaav
驸	fjaaiv
绂	fjaavu
附	fjaiiv
洑	fjaivu
赋	fjaovv
涪	fjaovo
赙	fjaovi
浮	fjauoo
滏	fjauou
㳇	fjauou
弗	fjavau
艴	fjavua
付	fjivio
幅	fjiavo
幞	fjiaii
蝮	fjiauv
蜉	fjiauo
佛	fjiava
佛	fliava
蝠	fjiavo
罘	fjiavu
蚨	fjiavv
芙	fjiivv
茀	fjiiav
䓛	fjiiav
䓛	gjiiav
䓛	qliiav
苻	fjiiiv
茯	fjiiiv
菔	fjiiua
莩	fjiiuo
莆	fjiivi
莆	pjiivi
芾	fjiivi
芾	fwiivi
黼	fjiivi
芣	fjiivu
黻	fjiivu
俯	fjiovu
扶	fjiuvv
拂	fjiuav
拊	fjiuiv
俘	fjiuoo
抚	fjiuvv
伏	fjivuo
傅	fjivia
府	fjoviv
福	fjoavo
袱	fjoaiv
讣	fjoaio
祓	fjoavu
咐	fjoivi
跗	fjoiiv
趺	fjoivv
富	fjoovo
怫	fjooav
宓	fjoooa
宓	mkoooa
㕮	fjouou
腐	fjovia
鄜	fjovai
呋	fjovvu
呒	fjovvu
呒	wjovvu
复	fjuvoi
负	fjuaao
鲋	fjuaiv
孵	fjuauo
凫	fjuaua
鳆	fjuauv
匐	fjuavo
阜	fjuiuo
父	fjuouo
孚	fjuoai
郛	fjuoai
斧	fjuouu
腑	fjuovu
釜	fjuovv
腹	fjuuvo
符	fjuviv
氟	fjuvav
脯	fjuvia
脯	pjuvia
馥	fjuvuv
稃	fjuvuo
肤	fjuvvu
簠	fjuvvi
副	fjvoii
辅	fjvavi
辐	fjvavo
覆	fjviuu
甫	fjviav
敷	fjviuv
赴	fjvoio
砩	fjvuav
桴	fjvuoo
砆	fjvuvv
夫	fjvvuo
榑	fjvvia
琈	fjvvuo
麸	fjvvvv
韨	fjvvvu
玞	fjvvvv
之	fkoaoo
治	fkaaoo
纸	fkaaua
滍	fkaaii
织	fkaaou
彘	fkaauv
陟	fkaiiv
骘	fkaiaa
沚	fkaivi
汁	fkauoo
泜	fkauav
滞	fkavii
咫	fkavou
指	fkiuua
置	fkiauo
ㄓ	fkiaiv
帜	fkiaou
蜘	fkiauv
帙	fkiauv
蛭	fkiava
芝	fkiioa
芷	fkiiiv
黹	fkiiou
𦭜	fkiiou
茋	fkiiua
锧	fkiouu
铚	fkiova
值	fkiuoi
贽	fkiuao
絷	fkiuaa
挚	fkiuiu
掷	fkiuou
伎	fkiuoa
伎	jkiuoa
伎	qkiuoa
摭	fkiuov
执	fkiuua
扺	fkiuua
鸷	fkiuua
止	fkiviv
侄	fkivao
只	fkouoo
祁	fkoaai
祁	qkoaai
祉	fkoaiv
禔	fkoaoi
禔	tkoaoi
祗	fkoaua
祇	fkoaua
祇	qkoaua
趾	fkoiiv
踯	fkoiou
踬	fkoiuu
跖	fkoivu
晊	fkoiva
跱	fkoivo
窒	fkoova
忮	fkoouo
吱	fkouoa
吱	zkouoa
痔	fkovvo
痣	fkovvo
痓	fkovva
庤	fkovvo
知	fkuvoo
旨	fkuaoi
炙	fkuaou
觯	fkuaou
直	fkuoia
支	fkuoao
疐	fkuoai
𨙸	fkuoai
𨙸	qkuoai
豸	fkuoou
膣	fkuooa
质	fkuuuo
脂	fkuuao
卮	fkuuaa
胝	fkuuav
徵	fkuuia
徵	qruuia
肢	fkuuoa
制	fkuvii
稚	fkuvio
雉	fkuvio
智	fkuvoi
秩	fkuvuv
稙	fkuvuo
至	fkvavo
致	fkvauv
郅	fkvaai
轵	fkvaou
轾	fkvava
职	fkviou
郦	fkviai
郦	lkviai
栉	fkviia
酯	fkviua
志	fkvooa
址	fkvoiv
枳	fkvouo
埴	fkvouo
枝	fkvuoa
植	fkvuoi
榰	fkvuov
栀	fkvuuv
桎	fkvvao
梽	fkvvoo
桌	flivvv
浊	flaiav
濯	flaaov
缴	flaaui
缴	jcaaui
淖	flaivi
淖	nzaivi
淖	wlaivi
浞	flaoiv
叕	flaoao
汋	flauao
涿	flavua
捉	fliuoi
著	fliiuo
著	qjiiuo
茁	fliiai
倬	fliivo
镯	flioia
䦃	flioii
拙	fliuai
擢	fliuao
卓	flivuo
诼	floavu
禚	floaou
躅	floiia
躅	qjoiia
晫	floiiv
灼	flouua
焯	flouiv
焯	jzouiv
焯	wzouiv
啄	flovua
酌	flviua
棹	flvivo
棹	fzvivo
棹	qzvivo
棁	flvouo
斫	flvuuu
琢	flvvvu
琢	zlvvvu
椓	flvvua
装	fmovov
装	fxovov
奘	fmaivu
奘	fxaivu
奘	zpaivu
撞	fmiuov
撞	fxiuov
幢	fmiaov
幢	fxiaov
幢	wmiaov
幢	wxiaov
僮	fmiovo
僮	fxiovo
僮	tyiovo
状	fmovvu
状	fxovvu
憧	fmooov
憧	fxooov
憧	wyooov
壮	fmovvo
壮	fxovvo
妆	fmovau
妆	fxovau
戆	fmovoa
戆	fxovoa
戆	gpovoa
庄	fmovvo
庄	fxovvo
桩	fmvovu
桩	fxvovu
分	fnuoau
纷	fnaauo
瀵	fnaouv
翂	fnaouo
汾	fnauoa
𣸣	fnauoi
份	fniuoa
芬	fniiuo
蕡	fniiuo
棻	fniivv
偾	fniuov
粉	fnouuo
愤	fnoouo
粪	fnouvi
吩	fnouoa
氛	fnuvuo
鲼	fnuauo
鼢	fnuiuo
忿	fnuooa
奋	fnvuia
酚	fnviuo
坟	fnvoov
豮	fnvuuo
焚	fnvvou
棼	fnvvuo
放	fpovuv
防	fpaiov
纺	fpaaov
妨	fpauov
仿	fpiova
蚄	fpiaov
芳	fpiiov
钫	fpioov
方	fpovau
房	fpoaov
访	fpoaov
昉	fpoiov
邡	fpovai
彷	fpuuov
彷	ppuuov
鲂	fpuaov
肪	fpuova
舫	fpuuov
牥	fpuvov
坊	fpvoov
枋	fpvova
抓	fqiuuu
挝	fqiuvi
挝	wliuvi
爪	fquuio
爪	fzuuio
爪	qzuuio
髽	fqviii
风	fruauo
缝	fraaua
赗	fraoia
沨	frauau
浲	frauao
沣	fravvv
峰	friaua
蜂	friaua
崶	friavo
葑	friivo
锋	frioua
俸	frivvv
酆	frivai
疯	frovua
讽	froaua
烽	frouua
冯	frovaa
冯	pgovaa
唪	frovvv
凤	fruaao
逢	fruaoa
丰	frvvvi
封	frvovi
堼	frvovo
枫	frvuau
砜	frvuua
奉	frvvvv
发	fsauao
法	fsavoa
溠	fsaouv
渣	fsavoi
罚	fsiaoa
眨	fsiauo
蚱	fsiauv
铡	fsioao
扎	fsiuaa
扎	zsiuaa
挓	fsiuoo
拃	fsiuuv
揸	fsiuvo
伐	fsivau
垡	fsivvo
炸	fsouuv
诈	fsoauv
阀	fsoiiv
闸	fsoiia
哳	fsoiuu
咤	fsoooa
怍	fsoouv
怍	zloouv
咋	fsouvi
咋	zeouvi
咋	zsouvi
鲝	fsouua
吒	fsouva
喳	fsovoi
喳	wsovoi
痄	fsovuv
乏	fsuoao
猹	fsuavo
猹	wsuavo
鲊	fsuauv
齄	fsuivo
齇	fsuiiv
乍	fsuviv
筏	fsuviv
劄	fsuvii
轧	fsvaaa
轧	gsvaaa
轧	ysvaaa
榨	fsvooa
查	fsvoiv
查	wsvoiv
霅	fsvoov
砟	fsvuuv
砝	fsvuvo
䃎	fsvuvu
楂	fsvvoi
楂	wsvvoi
珐	fsvvvo
赚	ftaoou
赚	ztaoou
撰	ftiuav
颛	ftiavu
僎	ftiaaa
传	ftivva
传	wtivva
啭	ftovai
篆	ftuvaa
馔	ftuaav
专	ftvvao
砖	ftvuvv
瑑	ftvvaa
飞	fwauoo
费	fwavao
沸	fwaava
绯	fwaaiv
妃	fwauav
淝	fwauai
非	fwiviv
菲	fwiiiv
镄	fwioav
斐	fwivov
翡	fwivao
蜚	fwivia
剕	fwivii
棐	fwivvv
废	fwovau
诽	fwoaiv
扉	fwoaiv
啡	fwoivv
悱	fwooiv
吠	fwovuo
痱	fwoviv
肥	fwuaiv
狒	fwuaav
鲱	fwuaiv
腓	fwuivv
朏	fwuoai
肺	fwuvia
篚	fwuvvi
匪	fwvivv
霏	fwvoiv
榧	fwvviv
中	fyiavi
终	fyaaua
众	fyiiii
忠	fyiaoa
盅	fyiaia
蚣	fyiauo
蚣	gyiauo
仲	fyiiav
茽	fyiiii
钟	fyioia
锺	fyiouv
衷	fyovia
冢	fyoavu
踵	fyoiuv
忪	fyoouo
忪	syoouo
种	fyuvia
种	wyuvia
螽	fyuaia
肿	fyuiav
舯	fyuuia
重	fyuvia
重	wyuvia
柊	fyvuao
找	fziuva
找	qziuva
沼	fzaauo
沼	qzaauo
招	fziuau
招	qziuau
罩	fziaiv
罩	qziaiv
䓬	fziiiv
䓬	qziiiv
钊	fzioii
钊	qzioii
照	fzoioo
照	qzoioo
诏	fzoaau
诏	qzoaau
肇	fzoaav
肇	qzoaav
昭	fzoiau
昭	qzoiau
曌	fzoioo
曌	qzoioo
嘲	fzouoo
嘲	jzouoo
嘲	qzouoo
嘲	wzouoo
旐	fzovuv
旐	qzovuv
朝	fzuouu
朝	jzuouu
朝	qzuouu
朝	wzuouu
兆	fzuoau
兆	qzuoau
笊	fzuvuu
笊	qzuvuu
赵	fzvouo
赵	qzvouo
规	gbvvia
癸	gbaovv
妫	gbauou
妫	wwauou
氿	gbauau
姽	gbauua
归	gbiuav
贵	gbiaao
刿	gbiaii
嶲	gbiaio
眭	gbiavo
眭	sbiavo
傀	gbiuia
傀	kbiuia
刽	gbivii
郐	gbivai
郐	ggivai
郐	kgivai
跪	gboiua
诡	gboaua
闺	gboivo
炅	gboiou
炅	jyoiou
晷	gboiua
宄	gbooua
炔	gbouav
炔	qhouav
庋	gbovuo
廆	gbovui
鬼	gbuiao
龟	gbuaia
龟	jwuaia
龟	qquaia
鲑	gbuavo
鲑	xduavo
鳜	gbuavu
鳜	jhuavu
皈	gbuiuu
攰	gbuoua
簋	gbuvav
筀	gbuvvo
桂	gbvvov
轨	gbvaua
桧	gbvivv
桧	hbvivv
圭	gbvovo
邽	gbvoai
硅	gbvuvo
柜	gbvvav
柜	jlvvav
匦	gbvvai
瑰	gbvvui
珪	gbvvvo
鬶	gbvvvo
够	gduaua
购	gdaoua
缑	gdaaia
沟	gdauaa
姤	gdauuu
媾	gdauvv
钩	gdioua
岣	gdiaua
苟	gdiiua
佝	gdiuao
拘	gdiuua
拘	jliuua
诟	gdoauu
狗	gduaua
勾	gduaao
雊	gduaio
句	gduaoo
句	jluaoo
耇	gduoua
篝	gduvvv
笱	gduvua
构	gdvuaa
鞲	gdvivv
垢	gdvouu
彀	gdvoua
枸	gdvuao
枸	jlvuao
觏	gdvvia
遘	gdvvoa
各	geuaoo
隔	geaivo
纥	geaauv
纥	heaauv
哿	geauvo
滆	geavoi
葛	geiioi
骼	geiaua
蛤	geiaiv
蛤	hsiaiv
虼	geiauv
铬	geioua
镉	geiovo
搁	geiuoi
搿	geiuiv
仡	geiuva
仡	ykiuva
鸽	geivua
合	geivoo
合	heivoo
颌	geivvu
颌	heivvu
割	geooii
袼	geoaua
阁	geoiua
咯	geouao
咯	ksouao
咯	llouao
盖	geouia
盖	ghouia
嗝	geovoi
疙	geovuv
胳	geuuao
胳	gsuuao
舸	geuuvo
膈	geuvoi
歌	gevoua
戈	gevauo
革	geviia
哥	gevovo
鬲	gevoia
鬲	lkvoia
圪	gevouv
塥	gevovo
格	gevuao
硌	gevuua
硌	llvuua
干	gfvvii
敢	gfavuv
绀	gfaavi
澉	gfaavi
淦	gfaioo
㽏	gfaiva
泔	gfavii
擀	gfiuuo
苷	gfiivi
赣	gfovua
旰	gfoivv
疳	gfovvi
咁	gfovii
咁	xmovii
肝	gfuvvi
鳡	gfuavu
乾	gfuouv
乾	qmuouv
竿	gfuvvv
秆	gfuvvv
感	gfvuoa
橄	gfvavi
甘	gfviiv
酐	gfvivv
赶	gfvovv
坩	gfvovi
尴	gfvuii
矸	gfvuvv
杆	gfvvvi
柑	gfvvii
玕	gfvvvv
乖	gguviv
夬	ggavuo
拐	ggiuoa
掴	ggiuia
掴	gliuia
怪	ggooao
该	ghoaov
改	ghavuv
溉	ghaavv
陔	ghaiov
赅	ghaoov
戤	ghauva
钙	ghiovi
芥	ghiiiu
芥	jdiiiu
荄	ghiiov
晐	ghoiov
概	ghvavv
丐	ghviva
垓	ghvoov
古	gjuooo
姑	gjauuo
孤	gjaiuu
汩	gjaoii
汩	ylaoii
沽	gjauoo
瀔	gjauov
固	gjiauo
骨	gjiauu
蛊	gjiaia
崮	gjiaia
蛄	gjiauo
鹘	gjiaua
鹘	hjiaua
罟	gjiauo
菇	gjiiau
菰	gjiiai
蓇	gjiiia
锢	gjioia
钴	gjiouo
估	gjiuoo
雇	gjoaio
诂	gjoauo
咕	gjouoo
呱	gjouua
呱	gqouua
羖	gjouua
痼	gjovia
故	gjuouv
觚	gjuauu
鲴	gjuaia
馉	gjuaia
谷	gjuooo
嘏	gjuoav
辜	gjuoov
榖	gjuoua
鸪	gjuoua
股	gjuuaa
𦙶	gjuuoo
箍	gjuviu
臌	gjuvov
牯	gjuvuo
牿	gjuvuv
顾	gjvuvu
轱	gjvauo
贾	gjviao
贾	jsviao
酤	gjviuo
鼓	gjvouo
瞽	gjvoia
堌	gjvoia
毂	gjvoua
梏	gjvuvi
过	glvioa
涡	glaoia
涡	wlaoia
国	gliavv
果	gliavv
帼	gliaia
蜾	gliaia
蝈	gliaia
崞	gliaov
锅	gliooi
郭	glovai
呙	gloiau
馘	glouvo
粿	glouia
裹	glovia
猓	gluaia
馃	gluaia
腘	gluiav
虢	gluoiv
聒	glviuv
椁	glvovo
埚	glvooi
光	gmioua
光	gxioua
潢	gmavii
潢	gxavii
潢	hmavii
潢	hxavii
洸	gmaiou
洸	gxaiou
广	gmovuu
广	gxovuu
咣	gmoiou
咣	gxoiou
逛	gmuaoa
逛	gxuaoa
犷	gmuaov
犷	gxuaov
胱	gmuiou
胱	gxuiou
桄	gmviou
桄	gxviou
𨐈	gmvaio
𨐈	gxvaio
垙	gmvoio
垙	gxvoio
珖	gmvvio
珖	gxvvio
跟	gnoiav
艮	gnavva
茛	gniiav
哏	gnoavv
哏	hnoavv
根	gnvavv
亘	gnvoiv
刚	gpiaii
港	gpavii
纲	gpaaia
钢	gpioia
岗	gpiaia
冈	gpiauo
罡	gpiavi
扛	gpiuvi
扛	kpiuvi
冮	gpovvi
缸	gpuvvi
肛	gpuviv
筻	gpuvvi
杠	gpvviv
㭎	gpviau
堽	gpvoia
矼	gpvuvi
挂	gqiuvo
括	gqiuuv
括	kliuuv
寡	gqoovu
褂	gqoavo
诖	gqoavo
剐	gqoiii
刮	gquvii
瓜	gquuao
胍	gquuua
鸹	gquvua
卦	gqvoio
坬	gqvouu
栝	gqvuvi
更	grviav
更	jgviav
颈	graovu
颈	jgaovu
绠	graavi
浭	gravia
庚	grovav
羹	grouou
哽	grovia
赓	grovao
鹒	grovua
鲠	gruavi
耕	grvvvv
耿	grviou
埂	grvovi
梗	grvvia
嘎	gsovui
尕	gsauiu
伽	gsiauo
伽	jsiauo
伽	qdiauo
钆	gsioaa
尜	gsiuvu
噶	gsoiio
咖	gsoauo
咖	jsoauo
咖	ksoauo
旮	gsuaoi
尬	gsvuiu
夹	gsvouv
夹	jsvouv
戛	gsvuva
戛	jsvuva
关	gtouvv
观	gtaoia
贯	gtaaao
纶	gtaaiu
纶	lwaaiu
毌	gtaaiv
灌	gtaiio
涫	gtaooa
矜	gtaoio
矜	jbaoio
矜	qbaoio
鹳	gtiiua
莞	gtiioo
莞	wfiioo
蒄	gtiioa
倌	gtiooa
掼	gtiuaa
官	gtooia
冠	gtoavv
祼	gtoaia
惯	gtooaa
爟	gtouii
管	gtuvoo
馆	gtuaoo
鳏	gtuaia
鳤	gtuauv
盥	gtuiia
罐	gtuvii
筦	gtuvoo
棺	gtvooa
瓘	gtvvii
琯	gtvvoo
给	gwaaiv
给	jkaaiv
滚	gwaovu
绲	gwaaoi
衮	gwovuo
鲧	gwuaua
棍	gwvoiv
辊	gwvaoi
磙	gwvuov
共	gyviuo
弓	gyavaa
红	gyaavi
红	hyaavi
供	gyivii
拱	gyiuvi
宫	gyoooo
唝	gyoviv
公	gyuoao
觥	gyuaio
躬	gyuiav
肱	gyuvua
工	gyvivv
功	gyviau
贡	gyviao
汞	gyviaa
䢼	gyviai
恭	gyviiu
攻	gyviuv
巩	gyviua
龚	gyvuvi
廾	gyvuii
珙	gyvvvi
栱	gyvviu
高	gzovia
缟	gzaaov
搞	gziuov
藁	gziivv
镐	gzioov
镐	hzioov
锆	gziouv
糕	gzouou
诰	gzoauv
杲	gzoivv
羔	gzouoo
膏	gzovuu
告	gzuvoo
睾	gzuivo
皋	gzuivu
稿	gzuvov
郜	gzuvai
篙	gzuvov
筶	gzuvuv
槁	gzvovo
槔	gzvuia
会	hbivva
会	kgivva
汇	hbavaa
绘	hbaaiv
缋	hbaaia
洄	hbaiav
浍	hbaivv
浍	kgaivv
贿	hbaovu
翚	hbaooa
回	hbiaoo
蛔	hbiaia
翙	hbiaao
睢	hbiaio
睢	sbiaio
蟪	hbiavi
荟	hbiiiv
茴	hbiiia
蕙	hbiivi
辉	hbiooa
挥	hbiuoa
恢	hboovu
讳	hboavv
喙	hboaav
诲	hboauv
诙	hboavu
袆	hboavv
晦	hboiuv
晖	hboioa
悔	hboouv
烩	hbouiv
烠	hbouvu
麾	hbovuv
咴	hbovuo
毁	hbuiua
卉	hbuovu
徽	hbuuia
秽	hbuvia
灰	hbvuou
惠	hbvioa
恚	hbvooa
虺	hbvuia
豗	hbvuvu
慧	hbvvoa
彗	hbvvav
橞	hbvvia
珲	hbvvoa
珲	hwvvoa
后	hduuoo
候	hdiiav
侯	hdiavu
骺	hdiauu
喉	hdoiav
吼	hdoaiv
鲎	hdooua
糇	hdouia
吽	hdouvv
吽	hyouvv
吽	xdouvv
瘊	hdovia
猴	hduaia
鲘	hduauu
齁	hduiua
逅	hduuoa
後	hduuaa
郈	hduuai
垕	hduuvo
篌	hduvia
厚	hdvuoi
堠	hdvoia
河	heavoi
涸	heaiav
渴	heaoiu
渴	keaoiu
翯	heaoov
贺	heauao
何	heivoi
荷	heiiiv
菏	heiiav
盒	heivia
郃	heivai
龁	heivuv
龢	heivuv
壑	heivvo
喝	heooiu
喝	yeooiu
鹤	heoaua
褐	heoaoi
诃	heoavo
嗬	heoiii
阂	heoiov
曷	heoiua
鹖	heoiua
阖	heoivo
熇	heouov
呵	heovoi
呵	hsovoi
呵	keovoi
劾	heovau
吓	heovio
吓	xsovio
禾	heuviu
饸	heuaiv
貉	heuoua
貉	hzuoua
貉	mluoua
盉	heuvia
和	heuvoo
和	hjuvoo
和	hluvoo
核	hevova
核	hjvova
鞨	hevioi
赫	hevovo
翮	hevoao
盍	hevoia
垎	hevoua
汉	hfaaoo
汗	hfavvi
涵	hfaaio
函	hfaiai
浛	hfaioa
瀚	hfauoo
憨	hfavoa
含	hfiooo
蚶	hfiavi
崡	hfiaai
虷	hfiavv
嵅	hfiavu
菡	hfiiai
蔊	hfiiou
颔	hfiovu
撼	hfiuvu
撖	hfiuav
捍	hfiuoi
扞	hfiuvv
喊	hfovuv
罕	hfoavv
旱	hfoivv
阚	hfoiav
阚	kfoiav
晗	hfoiio
暵	hfoivi
寒	hfoooo
㘎	hfooia
悍	hfoooi
憾	hfoovu
焊	hfouoi
焓	hfouio
韩	hfuovv
犴	hfuavv
犴	xfuavv
鼾	hfuivv
翰	hfuoia
酣	hfvivi
邯	hfviai
垾	hfvooi
顸	hfvvvu
邗	hfvvai
琀	hfvvio
坏	hgvovu
坏	pwvovu
淮	hgaiov
怀	hgoovu
踝	hgoiia
徊	hguuia
槐	hgvuia
还	hhvuoa
还	htvuoa
海	hhauva
骇	hhaaov
孩	hhaiov
骸	hhiaov
害	hhoovv
嗨	hhoauv
嗨	hwoauv
咍	hhoaoo
咳	hhoova
咳	keoova
嗐	hhoooa
亥	hhovau
氦	hhuvov
胲	hhuova
醢	hhvivu
胡	hjuouu
湖	hjauoo
滹	hjaiva
沪	hjaoav
浒	hjaoau
浒	xlaoau
淴	hjauau
嫭	hjauiv
弧	hjavuu
护	hjiuoa
蝴	hjiauo
囫	hjiaua
岵	hjiauo
葫	hjiiuo
芴	hjiiua
芴	wjiiua
虎	hjivua
虍	hjivva
户	hjoavu
扈	hjoaoa
戽	hjoaoo
祜	hjoauo
隺	hjoaui
许	hjoauv
许	xloauv
唬	hjoiva
昈	hjoioa
昒	hjoiua
惚	hjooua
怙	hjoouo
呼	hjouou
唿	hjouau
糊	hjouuo
烀	hjouuo
煳	hjouuo
冱	hjovva
乎	hjuouv
忽	hjuaoa
鹱	hjuaii
鳠	hjuaii
斛	hjuaoo
狐	hjuauu
猢	hjuauo
鹕	hjuoua
鹄	hjuvua
笏	hjuvua
互	hjvaav
轷	hjvauo
醐	hjviuo
壶	hjvoii
鄠	hjvoai
縠	hjvoua
觳	hjvoua
槲	hjvuau
瓠	hjvuuu
瑚	hjvvuo
琥	hjvviv
或	hlvova
活	hlauvi
濩	hlaiii
漷	hlaovo
彟	hlavii
获	hliiua
夥	hliaua
蠖	hliaii
藿	hliivo
劐	hliiii
伙	hlioui
镬	hlioii
钬	hlioou
锪	hlioua
货	hliuao
攉	hliuvo
佸	hliuvi
火	hlouii
祸	hloaoi
嚄	hloiii
豁	hloouo
㸌	hlouvo
嚯	hlovoa
霍	hlvoio
惑	hlvooa
耠	hlvviv
黄	hmviia
黄	hxviia
隍	hmaiui
隍	hxaiui
滉	hmaoii
滉	hxaoii
湟	hmauia
湟	hxauia
媓	hmauui
媓	hxauui
荒	hmiiov
荒	hxiiov
幌	hmiaoi
幌	hxiaoi
蝗	hmiaui
蝗	hxiaui
蟥	hmiavi
蟥	hxiavi
锽	hmioui
锽	hxioui
𨱑	hmioii
𨱑	hxioii
慌	hmooii
慌	hxooii
谎	hmoaii
谎	hxoaii
晃	hmoiio
晃	hxoiio
惶	hmooui
惶	hxooui
恍	hmooio
恍	hxooio
煌	hmouui
煌	hxouui
喤	hmouia
喤	hxouia
肓	hmovuu
肓	hxovuu
癀	hmovvi
癀	hxovvi
皇	hmuivv
皇	hxuivv
凰	hmuaui
凰	hxuaui
鳇	hmuaui
鳇	hxuaui
遑	hmuioa
遑	hxuioa
㿠	hmuiio
㿠	hxuiio
徨	hmuuui
徨	hxuuui
艎	hmuuui
艎	hxuuui
簧	hmuvvi
簧	hxuvvi
篁	hmuvui
篁	hxuvui
磺	hmvuvi
磺	hxvuvi
璜	hmvvvi
璜	hxvvvi
瑝	hmvvui
瑝	hxvvui
很	hnuuav
恨	hnooav
痕	hnovav
狠	hnuaav
行	hpuuvv
行	hruuvv
行	xguuvv
沆	hpaovu
绗	hpaauu
吭	hpoovu
吭	kroovu
颃	hpovvu
航	hpuuov
杭	hpvovu
巷	hpviav
巷	xxviav
夯	hpvuau
桁	hpvuui
桁	hrvuui
珩	hpvvuu
珩	hrvvuu
话	hqoauv
滑	hqaiaa
骅	hqaaiu
婳	hqauvi
化	hqiuaa
花	hqiiiu
铧	hqioiu
华	hqiuuo
哗	hqoiua
猾	hquaia
觟	hquavo
划	hqvaii
画	hqviav
桦	hqviua
砉	hqvvvu
砉	xlvvvu
横	hrvvii
姮	hrauvo
蘅	hriiuu
哼	hroovo
恒	hroovo
亨	hrovoa
衡	hruuua
鸻	hruuua
哈	hsoivo
虾	hsiavi
虾	xsiavi
铪	hsioiv
铪	keioiv
换	htiuua
缓	htaauo
幻	htaaaa
缳	htaaia
漶	htaiav
澴	htaiai
欢	htaoua
浣	htaooa
涣	htauai
嬛	htauia
嬛	qyauia
嬛	xtauia
洹	htavoi
患	htiaoa
圜	htiaia
圜	ytiaia
鹮	htiaua
峘	htiavo
萑	htiiio
荁	htiivo
锾	htiouo
镮	htioia
擐	htiuia
唤	htouai
㬊	htoiuo
宦	htoovi
寰	htooia
逭	htoooa
焕	htouua
豢	htouvu
痪	htovua
奂	htuaia
獾	htuaii
郇	htuaai
郇	xwuaai
鲩	htuaoo
貆	htuovo
鬟	htviia
垸	htvooo
垸	ytvooo
环	htvvvu
桓	htvvoi
𤩽	htvvuo
黑	hwiaoo
混	hwaoiv
溷	hwaiav
浑	hwaoav
婚	hwauua
婫	hwauoi
荤	hwiiva
嘿	hwoiao
诨	hwoaoa
阍	hwoiua
惛	hwooua
昏	hwuaoi
馄	hwuaoi
魂	hwvvui
洪	hyavii
泓	hyaava
纮	hyaavu
鸿	hyavua
弘	hyavao
虹	hyiavi
薨	hyiivu
荭	hyiiaa
蕻	hyiivi
宏	hyoovu
讧	hyoavi
闳	hyoivu
黉	hyoovi
烘	hyouvi
哄	hyovii
竑	hyovvu
訇	hyuaov
谼	hyuovi
轰	hyvaao
翃	hyvuao
硔	hyvuvi
玒	hyvvvi
好	hzauai
浩	hzauvi
濠	hzaovo
灏	hzaoio
淏	hzaoiv
蒿	hziiov
蚝	hziauv
薅	hziiau
侴	hzivav
号	hzovaa
昊	hzoivv
嚆	hzoiio
颢	hzoivu
嚎	hzoovo
嗥	hzouia
毫	hzovuv
鄗	hzovai
豪	hzovvu
皓	hzuiuv
皞	hzuiui
耗	hzvvuv
郝	hzvoai
壕	hzvoov
进	jbvvoa
尽	jbavoo
浸	jbaavv
津	jbaavv
缙	jbaavi
浕	jbaavu
卺	jbaiaa
劲	jbaoau
劲	jgaoau
赆	jbaoav
妗	jbauio
溍	jbavii
仅	jbiaoo
巾	jbiaii
紧	jbiiaa
荩	jbiiav
今	jbioaa
锦	jbioui
搢	jbiuvi
谨	jboavi
襟	jboavv
祲	jboaav
衿	jboaio
烬	jbouav
噤	jbovvv
廑	jbovvi
近	jbuuoa
馑	jbuavi
斤	jbuuvi
筋	jbuvua
禁	jbvvvv
晋	jbvioi
觐	jbviia
堇	jbviia
靳	jbviuu
墐	jbvovi
殣	jbvuvi
瑾	jbvvvi
珒	jbvvav
槿	jbvvii
琎	jbvvvu
瑨	jbvvvi
叫	jcoaii
